Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,Bristol City,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Borough of Halton,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
5,3,0,0,1,0,4,2,5,2,4,4,4,2,2,0,3,6,9,5,5,1,6,2,5,6,5,5,8,5,1,1,5,3,4,4,13,0,2,5,1,0,4,4,3,7,3,3,5,-3,3,5,4,4,6,-5,1,15,4,5,2,2,7,4,9,3,5,6,5,5,3,6,-1,3,3,2,2,2
2,5,2,4,3,3,6,6,8,6,6,3,5,7,4,6,5,7,7,6,4,2,4,7,7,7,6,7,6,4,7,4,10,7,6,8,11,5,4,6,3,3,7,7,6,7,4,6,7,1,-1,6,5,6,7,-4,2,17,7,8,7,4,7,4,9,5,7,5,5,7,5,7,3,3,6,3,1,7
6,6,6,1,6,3,5,4,9,7,6,2,1,1,3,4,4,4,6,4,5,2,5,2,5,8,4,6,3,5,5,3,6,7,4,9,11,1,3,6,3,2,5,4,6,5,6,4,7,2,1,6,4,5,6,-4,4,17,6,6,4,4,7,5,13,5,7,5,3,6,2,8,2,4,5,0,2,5
11,13,10,7,10,11,13,10,12,12,11,8,7,5,6,14,10,10,13,11,11,8,11,11,12,11,8,13,11,12,11,9,15,13,11,13,17,-1,9,8,9,6,9,8,12,11,15,11,13,4,6,9,12,8,11,-5,7,23,12,14,12,11,11,11,22,13,14,12,7,13,3,14,8,8,14,9,8,12
11,16,13,10,11,10,13,9,16,11,12,4,8,7,7,14,10,8,9,11,10,9,7,12,11,12,7,14,8,11,11,12,18,14,12,13,20,2,8,9,8,7,9,10,11,13,17,10,13,5,4,9,9,7,11,2,9,24,13,15,14,9,13,9,25,14,13,11,7,10,3,15,9,10,14,11,9,13
13,9,12,6,7,6,9,4,13,11,12,6,7,4,7,12,8,8,8,12,8,6,6,-6,7,11,6,11,12,8,8,7,15,11,11,18,15,2,1,8,10,7,7,11,9,13,15,8,9,5,4,8,7,3,9,0,7,19,10,11,9,7,8,10,14,9,13,7,7,7,2,9,8,7,11,10,7,10
8,5,15,10,5,5,5,2,8,12,11,10,11,10,10,10,10,9,9,18,10,6,5,-4,7,8,6,6,13,8,11,10,8,9,11,13,11,3,-2,8,11,9,8,16,7,20,15,9,6,2,2,8,15,6,10,-4,4,20,11,11,11,7,9,7,8,12,3,9,7,6,5,6,8,10,7,9,9,11
21,25,25,17,15,17,25,19,26,24,25,18,19,15,20,23,23,21,22,27,24,21,20,4,22,23,14,24,22,22,21,19,24,25,24,27,32,10,18,20,21,19,22,22,20,29,24,20,23,19,16,20,22,16,21,14,13,33,25,23,21,21,25,23,30,25,23,24,20,21,18,23,18,20,21,22,20,21
24,25,26,21,18,22,27,23,32,28,27,24,22,19,26,29,30,26,25,30,26,23,23,11,28,26,22,27,20,26,25,24,22,29,25,29,31,14,22,22,25,24,25,27,23,30,27,26,25,20,18,24,23,20,26,23,23,37,29,30,27,24,30,31,27,30,26,28,25,24,20,19,21,23,22,26,23,23
16,31,29,17,18,15,31,22,35,27,26,17,24,16,22,27,27,19,23,27,29,29,17,7,27,26,13,31,21,28,25,23,27,29,23,33,39,16,25,19,24,24,19,21,23,28,28,25,22,19,15,27,24,16,21,15,24,47,27,29,24,22,33,33,40,29,23,28,21,22,16,28,21,23,25,26,24,25
